"Node","Distance to source (constant)","Distance to source (real distance, HostIP)","Distance to source (real distance, GeoIP2)","Distance to source (Response Time)","GPS(HostIP)","Country(HostIP)","City(HostIP)","Is HostIP geo data computed already?","GPS(GeoIP2)","Country(GeoIP2)","City(GeoIP2)","Is GeoIP2 geo data computed already?"
"81.248.150.159","0.0","0.0","0.0","0.0","","","","false","16.2034,-61.4923","Guadeloupe","Le Gosier","true"
"108.170.245.1","1.7976931348623157E308","1.7976931348623157E308","1.7976931348623157E308","1.7976931348623157E308","","","","false","37.751,-97.822","United States","","true"
"81.253.131.113","2.0","1.7976931348623157E308","6999.55","31.447000000000003","","","","false","48.8582,2.3387","France","","true"
"80.10.123.11","1.0","1.7976931348623157E308","6999.55","10.292","","","","false","48.8582,2.3387","France","","true"
"192.178.82.41","9.0","1.7976931348623157E308","15197.970000000001","487.78799999999995","","","","false","37.751,-97.822","United States","","true"
"209.85.250.201","1.7976931348623157E308","1.7976931348623157E308","1.7976931348623157E308","1.7976931348623157E308","","","","false","37.751,-97.822","United States","","true"
"142.251.64.125","1.7976931348623157E308","1.7976931348623157E308","1.7976931348623157E308","1.7976931348623157E308","","","","false","37.751,-97.822","United States","","true"
"142.250.201.164","1.7976931348623157E308","1.7976931348623157E308","1.7976931348623157E308","1.7976931348623157E308","","","","false","37.751,-97.822","United States","","true"
"192.178.82.35","8.0","1.7976931348623157E308","15197.970000000001","423.5249999999999","","","","false","37.751,-97.822","United States","","true"
"108.170.249.30","5.0","1.7976931348623157E308","15197.970000000001","212.28","","","","false","37.751,-97.822","United States","","true"
"142.250.226.24","7.0","1.7976931348623157E308","15197.970000000001","356.23099999999994","","","","false","37.751,-97.822","United States","","true"
"81.253.131.125","3.0","1.7976931348623157E308","6999.55","58.03","","","","false","48.8582,2.3387","France","","true"
"142.250.212.203","6.0","1.7976931348623157E308","15197.970000000001","285.695","","","","false","37.751,-97.822","United States","","true"
"72.14.214.230","4.0","1.7976931348623157E308","15197.970000000001","137.00199999999998","","","","false","37.751,-97.822","United States","","true"
